,ts_code,name,enname,classify,list_date,delist_date
344,ADBGF,,ADORE BEAUTY GROUP (OTC),EQ,20210310,
345,ADBKF,,ADDIKO BANK (OTC),EQ,20190923,NaT
346,ADBMF,,AUDIOBOOM GROUP (OTC),EQ,20220217,NaT
347,ADBN,,AMERICANA DISTRIBUTION,EQ,19950503,NaT
348,ADBRF,,ALDEBARAN RESOURCES(OTC),EQ,20190904,NaT
349,ADC,,AGREE REALTY,EQ,19940415,NaT
350,ADCNF,,ADICON HOLDINGS (OTC),EQ,20240122,NaT
351,ADCOF,,ADCORE (OTC),EQ,20200127,NaT
352,ADCPRA,,AGREE RLTY 1000 DEP,EQ,20210915,NaT
353,ADCT,,ADC THERAPEUTICS,EQ,20200515,NaT
354,ADCUF,,ADS MARITIME (OTC) HOLDING,ADR,20200420,NaT
355,ADCV,,AD CAPITAL US,EQ,20040525,NaT
356,ADD,,COLOR STAR TECHNOLOGY A,EQ,20070621,NaT
357,ADDC,,ADDMASTER,EQ,20131003,NaT
358,ADDDF,,ADIDAS AG (OTC),EQ,19951013,NaT
359,ADDHY,,ADDTECH 2 UNSPONSORED ADR 2:1,ADR,20230208,NaT
360,ADDLF,,ADDLIFE B (OTC),EQ,20190321,NaT
361,ADDYY,,ADIDAS ADR 2:1,ADR,20041231,NaT
362,ADEA,,ADEIA,EQ,20031021,NaT
363,ADEC,,ALTERNATIVE EN.DEV.,EQ,20101005,NaT
364,ADER,,26 CAPITAL ACQUISITION A,EQ,20210308,
365,ADERU,,26 CAPITAL ACQUISITION UNITS,EQ,20210115,
366,ADERW,,26 CAP.ACQ.EQ. WARRT.EXP 31 DEC 2027,EQ,20210309,
367,ADERY,,AIDA ENGR.ADR 1:10,ADR,20130114,NaT
368,ADEVF,,ADEVINTA (OTC),EQ,20200113,NaT
369,ADEVY,,ADEVINTA ASA UNSPONSORED ADR 2:1,ADR,20220321,NaT
370,ADEX,,ADIT EDTECH ACQUISITION,EQ,20210303,
371,ADEX.U,,ADIT EDTECH ACQ.RED.UTS.,EQ,20210112,
372,ADFJF,,ADF GP. (OTC),EQ,19600101,NaT
373,ADFS,,AMERICAN DEFENSE SYS.,EQ,20111201,NaT
374,ADGCF,,ADVANCE LITHIUM (OTC),EQ,20201216,NaT
375,ADGL,,ALLDIGITAL HOLDINGS,EQ,20120312,NaT
376,ADGO,,ADVANTEGO,EQ,19950221,NaT
377,ADHC,,AMERICAN DIVR.HOLDINGS,EQ,20030916,NaT
378,ADHG,,ANDO HOLDINGS,EQ,20170512,
