,ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
260,00310.HK,嘉进投资国际,嘉进投资国际有限公司,Prosperity Investment Holdings Limited,JJTZGJ,主板,L,19921221,,15000.0,BMG727402056,HKD
261,00311.HK,联泰控股,联泰控股有限公司,Luen Thai Holdings Ltd.,LTKG,主板,L,20040715,,1000.0,KYG5697P1046,HKD
262,00312.HK,岁宝百货,岁宝百货控股(中国)有限公司,Shirble Department Store Holdings (China) Ltd.,SBBH,主板,L,20101117,,2000.0,KYG810871015,HKD
263,00313.HK,裕田中国,裕田中国发展有限公司,Richly Field China Development Limited,YTZG,主板,L,19930105,,25000.0,BMG7568A1172,HKD
264,00314.HK,思派健康,思派健康科技有限公司,"Sipai Health Technology Co., Ltd.",SPJK,主板,L,20221223,,200.0,KYG8192S1021,HKD
265,00315.HK,数码通电讯,数码通电讯集团有限公司,SmarTone Telecommunications Holdings Ltd.,SMTDX,主板,L,19961031,,500.0,BMG8219Z1059,HKD
266,00316.HK,东方海外国际,东方海外(国际)有限公司,Orient Overseas (International) Ltd.,DFHWGJ,主板,L,19920731,,500.0,BMG677491539,HKD
267,00317.HK,中船防务,中船海洋与防务装备股份有限公司,CSSC Offshore & Marine Engineering (Group) Company Limited,ZCFW,主板,L,19930806,,2000.0,CNE100000395,HKD
268,00318.HK,黄河实业,黄河实业有限公司,Vongroup Ltd.,HHSY,主板,L,20011009,,5000.0,KYG9387J1132,HKD
269,00320.HK,金宝通,金宝通集团有限公司,Computime Group Limited,JBT,主板,L,20061009,,2000.0,KYG2341T1031,HKD
270,00321.HK,德永佳集团,德永佳集团有限公司,Texwinca Holdings Ltd.,DYJJT,主板,L,19920806,,2000.0,BMG8770Z1068,HKD
271,00322.HK,康师傅控股,康师傅控股有限公司,Tingyi (Cayman Islands) Holding Corp.,KSFKG,主板,L,19960205,,2000.0,KYG8878S1030,HKD
272,00323.HK,马鞍山钢铁股份,马鞍山钢铁股份有限公司,Maanshan Iron & Steel Company Limited,MASGTGF,主板,L,19931103,,2000.0,CNE1000003R8,HKD
273,00325.HK,布鲁可,布鲁可集团有限公司,Bloks Group Limited,BLK,主板,L,20250110,,300.0,KYG1R24P1085,HKD
274,00326.HK,中国星集团,中国星集团有限公司,China Star Entertainment Limited,ZGXJT,主板,L,19921112,,10000.0,BMG8437G3195,HKD
275,00327.HK,百富环球,百富环球科技有限公司,PAX Global Technology Limited,BFHQ,主板,L,20101220,,1000.0,BMG6955J1036,HKD
276,00328.HK,ALCO HOLDINGS,爱高集团有限公司,Alco Holdings Limited,ALCOHOLDINGS,主板,L,19921127,,2000.0,BMG0R33J1038,HKD
277,00329.HK,东建国际,东建国际控股有限公司,OCI International Holdings Limited,DJGJ,主板,L,20010509,,4000.0,KYG6706E1061,HKD
278,00330.HK,思捷环球,思捷环球控股有限公司,Esprit Holdings Ltd.,SJHQ,主板,L,19931209,,2500.0,BMG3122U1457,HKD
